Price,Close,High,Low,Open,Volume
Ticker,6758.T,6758.T,6758.T,6758.T,6758.T
Date,,,,,
2021-06-28,2120.455810546875,2125.3326638370013,2103.8745093604457,2106.8006213345216,11008000
2021-06-29,2145.8154296875,2152.6430242365054,2126.308016690341,2133.1356112393464,16084500
2021-06-30,2109.72705078125,2137.037433315635,2097.047230318857,2126.308354462841,19944500
2021-07-01,2134.111083984375,2134.111083984375,2102.8992216957554,2126.30811841222,15468000
2021-07-02,2212.140625,2219.9435901675483,2149.716903659612,2163.3720927028216,28669500
2021-07-05,2192.63330078125,2216.042197230872,2178.002740500236,2209.2146024330655,13986500
2021-07-06,2192.63330078125,2231.6481281972865,2191.6579300958488,2210.1899731184662,16009500
2021-07-07,2170.199951171875,2194.584220286166,2151.6679066450138,2155.5693897033007,13887500
2021-07-08,2140.9384765625,2172.150335901908,2140.9384765625,2162.3966298583427,14452000
2021-07-09,2156.54443359375,2167.2735103777986,2117.5296089244825,2145.8153568097014,23080000
2021-07-12,2240.42626953125,2247.253863735307,2180.9286628958967,2188.7316277005334,30900500
2021-07-13,2256.032470703125,2292.1211872686313,2241.4019099333254,2266.761548600978,24946000
2021-07-14,2263.835693359375,2271.638659988791,2234.5745684990643,2243.3529059571574,13339500
2021-07-15,2224.820068359375,2256.031923768187,2222.8693273963245,2254.081182805136,14164500
2021-07-16,2176.0517578125,2201.411392820624,2176.0517578125,2198.4852810889174,17095500
2021-07-19,2132.16064453125,2169.224736247713,2128.259161192675,2147.7665778855503,14654000
2021-07-20,2084.367431640625,2110.7024436454435,2070.712240230719,2093.1457689755644,19710500
2021-07-21,2127.283447265625,2150.692343521643,2120.4558525242865,2145.8154901349726,15504000
2021-07-26,2140.9384765625,2199.4607128238895,2135.0862529363612,2184.830153758542,17635500
2021-07-27,2155.569091796875,2169.224280613688,2138.9877910907453,2140.93853235029,10797500
2021-07-28,2172.150390625,2222.8696633293107,2159.470572448922,2176.0518731407165,20521000
2021-07-29,2247.25390625,2269.6874304877388,2218.968158298069,2230.672605726454,23843000
2021-07-30,2218.96826171875,2267.736794943338,2191.657883112981,2247.254010989011,19859000
2021-08-02,2253.106689453125,2255.0574311755954,2205.313517252604,2218.968709309896,13475500
2021-08-03,2232.623291015625,2243.352367556111,2217.0173615021913,2243.352367556111,11149000
2021-08-04,2160.446044921875,2182.8795704447657,2154.5938208724256,2174.101234370591,20633000
2021-08-05,2216.042236328125,2217.9929777333437,2141.914062929825,2204.3377878968145,20961000
2021-08-06,2223.84521484375,2252.130965383429,2214.091507761102,2217.9929905941613,14996000
2021-08-10,2168.249267578125,2199.461132878395,2146.7911101841896,2175.0768631125593,17626000
2021-08-11,2167.273681640625,2181.90424204774,2157.5199747025486,2169.2244230282404,10740000
2021-08-12,2147.7666015625,2171.1755018520093,2144.8404890263114,2168.2493893158207,10330500
2021-08-13,2178.002685546875,2187.7563921547876,2147.766195062346,2169.2243495997536,13964000
2021-08-16,2129.234130859375,2171.175068846985,2122.4065363032523,2164.347474290863,15736500
2021-08-17,2091.19482421875,2124.357428707294,2091.19482421875,2116.5544629452834,11715500
2021-08-18,2126.307861328125,2138.0123082712157,2085.342297027308,2086.317667605899,13874500
2021-08-19,2068.76123046875,2107.776058011772,2068.76123046875,2102.899204568894,14855500
2021-08-20,2071.687255859375,2099.973004644649,2057.056696142854,2058.032066790622,12906000
2021-08-23,2145.8154296875,2157.5198774857954,2096.0715265447443,2097.046897194602,15840000
2021-08-24,2220.9189453125,2240.4263580952183,2206.288385725461,2210.1898682820047,21747000
2021-08-25,2236.52490234375,2254.081574058616,2224.8204545338394,2247.2539795028347,15430500
